EmployeeID,Age,Gender,JobRole,TenureYears,WorkHoursPerWeek,WFH_percent,SleepHours,OvertimeHours,MeetingsPerDay,BreaksPerDay,ManagerRating,StressScore,ProductivityScore,BurnoutRisk,WorkloadIndex,ProductivityBand,WFHCategory,AgeGroup
199,52,Other,QA Tester,6.1,44.4,85.7,8.1,1.6,0,1,3.0,73.9,55.1,Medium,46.0,medium,high WFH,51-60
200,28,Other,Data Analyst,9.7,63.8,92.8,7.9,18.5,8,2,2.6,18.2,69.2,High,82.3,medium,high WFH,21-30
201,25,F,HR Manager,0.2,53.7,95.0,6.7,1.4,2,4,3.7,97.3,38.5,High,55.1,low,high WFH,21-30
202,35,Male,Software Engineer,4.2,31.9,55.5,8.0,18.4,0,0,4.9,98.1,64.5,Low,50.3,medium,medium WFH,31-40
203,48,Other,HR Manager,3.1,77.9,34.1,7.0,6.8,1,2,4.3,21.7,84.6,High,84.7,high,medium WFH,41-50
204,22,Other,Business Analyst,0.6,60.0,96.2,10.8,27.1,7,1,3.6,19.4,40.6,Medium,87.1,medium,high WFH,21-30
205,39,Female,QA Tester,7.2,67.1,54.7,6.7,14.3,4,5,3.9,47.1,66.4,High,81.39999999999999,medium,medium WFH,31-40
206,55,M,Software Engineer,2.7,29.4,6.4,7.6,6.7,6,1,4.7,96.7,47.1,Low,36.1,medium,low WFH,51-60
207,38,Male,Team Lead,11.1,27.6,64.3,6.6,25.6,5,0,4.8,46.0,62.4,High,53.2,medium,high WFH,31-40
208,45,Male,QA Tester,12.7,26.1,58.8,8.3,7.6,0,0,4.9,42.7,73.4,Low,33.7,high,medium WFH,41-50
209,22,F,Team Lead,8.2,35.4,89.6,8.0,9.2,5,5,3.5,73.3,48.0,Low,44.599999999999994,medium,high WFH,21-30
210,38,F,Product Manager,14.7,47.8,65.3,3.1,25.0,6,0,2.5,26.1,99.6,Low,72.8,high,high WFH,31-40
211,39,Other,Support Engineer,6.8,76.5,34.9,7.3,9.3,3,3,1.5,42.7,65.1,Low,85.8,medium,medium WFH,31-40
212,51,Other,HR Manager,7.7,50.1,96.6,3.7,12.3,7,4,2.5,36.2,86.0,Low,62.400000000000006,high,high WFH,51-60
213,26,Male,Software Engineer,14.8,51.2,52.5,3.2,10.4,7,2,4.8,64.1,78.0,High,61.6,high,medium WFH,21-30
214,52,Other,Team Lead,3.5,55.9,63.0,9.3,3.5,6,5,4.6,24.6,88.2,Medium,59.4,high,high WFH,51-60
215,59,Male,Data Analyst,14.1,51.2,29.3,5.1,1.2,1,1,3.1,59.4,33.9,Low,52.400000000000006,low,medium WFH,51-60
216,58,Other,Team Lead,0.6,58.5,37.4,5.7,21.7,5,1,3.1,87.2,37.8,Low,80.2,low,medium WFH,51-60
217,37,M,Data Analyst,6.7,56.3,67.0,7.0,19.4,5,4,2.2,56.3,59.0,Low,75.69999999999999,medium,high WFH,31-40
218,59,Other,QA Tester,1.1,68.6,7.2,4.4,8.5,6,0,2.8,71.5,88.2,High,77.1,high,low WFH,51-60
219,20,Female,Software Engineer,10.9,79.3,25.7,7.0,8.9,5,0,3.9,16.8,35.8,Low,88.2,low,medium WFH,
220,30,Male,Team Lead,9.1,51.2,71.4,7.0,28.4,1,1,2.6,50.4,97.7,Medium,79.6,high,high WFH,21-30
221,47,Female,Business Analyst,10.6,53.0,48.0,7.0,29.6,7,4,1.8,18.5,30.2,Low,82.6,low,medium WFH,41-50
222,44,Female,Team Lead,5.6,75.0,40.2,6.2,14.2,3,1,3.2,64.0,34.0,Medium,89.2,low,medium WFH,41-50
223,42,M,Product Manager,5.5,68.2,15.1,5.1,15.1,8,0,1.9,35.3,33.4,Low,83.3,low,low WFH,41-50
224,50,Male,Business Analyst,0.7,51.8,44.2,5.8,22.1,7,5,4.9,35.9,66.9,Low,73.9,medium,medium WFH,41-50
225,49,Male,Software Engineer,5.2,77.0,77.1,8.7,8.9,2,2,2.6,16.9,93.4,Low,85.9,high,high WFH,41-50
226,54,Male,Product Manager,13.9,28.1,26.4,7.4,1.8,2,0,4.6,37.9,40.4,Low,29.900000000000002,medium,medium WFH,51-60
227,26,Male,Team Lead,5.7,76.2,0.5,10.2,4.3,7,5,1.9,55.6,64.2,Low,80.5,medium,low WFH,21-30
228,35,Male,Data Analyst,12.5,27.8,66.9,7.8,25.1,1,2,1.8,62.6,34.1,Medium,52.900000000000006,low,high WFH,31-40
229,45,M,Team Lead,12.6,55.1,97.3,6.9,15.1,8,3,3.5,16.0,70.5,Low,70.2,high,high WFH,41-50
230,21,Other,HR Manager,5.6,74.0,52.5,9.3,19.9,3,4,4.1,68.6,29.9,Low,93.9,low,medium WFH,21-30
231,20,Female,QA Tester,9.5,39.4,12.0,10.6,3.9,5,5,3.3,54.0,59.3,Low,43.3,medium,low WFH,
232,31,Male,Support Engineer,1.4,51.0,52.5,5.8,19.2,2,3,3.0,58.3,72.4,High,70.2,high,medium WFH,31-40
233,24,Other,Data Analyst,1.6,42.8,86.8,5.0,23.2,2,0,1.2,85.0,66.3,Medium,66.0,medium,high WFH,21-30
234,56,Male,HR Manager,0.7,77.4,23.3,7.9,25.8,2,4,3.5,40.8,31.2,Medium,103.2,low,medium WFH,51-60
235,51,Female,Business Analyst,7.7,70.3,60.8,7.0,0.4,9,5,1.5,25.7,32.9,Low,70.7,low,high WFH,51-60
236,28,M,QA Tester,6.4,51.2,40.3,10.9,15.1,1,0,2.4,59.7,73.7,Low,66.3,high,medium WFH,21-30
237,54,Male,Software Engineer,8.2,57.3,20.8,6.7,0.6,7,4,3.7,95.1,84.7,Low,57.9,high,medium WFH,51-60
238,38,F,Data Analyst,7.8,70.1,81.3,3.6,15.1,8,4,1.4,56.6,92.6,Medium,85.19999999999999,high,high WFH,31-40
239,35,Other,Support Engineer,5.3,46.6,74.3,7.0,19.1,7,0,1.5,84.9,85.1,Medium,65.7,high,high WFH,31-40
240,22,Female,QA Tester,10.2,49.6,66.2,9.7,4.5,9,0,1.2,78.1,97.9,High,54.1,high,high WFH,21-30
241,39,F,Business Analyst,11.4,65.2,23.6,4.4,23.0,2,5,5.0,56.6,52.7,High,88.2,medium,medium WFH,31-40
242,43,Other,Product Manager,7.7,44.7,9.8,10.2,2.1,6,4,2.5,68.3,46.5,Low,46.800000000000004,medium,low WFH,41-50
243,52,M,Product Manager,3.1,28.5,57.6,5.7,15.1,9,5,4.6,46.6,22.3,Low,43.6,low,medium WFH,51-60
244,43,F,Support Engineer,10.7,29.1,55.4,6.0,7.9,1,4,2.2,57.8,56.0,Low,37.0,medium,medium WFH,41-50
245,30,Other,Software Engineer,5.8,31.3,18.8,10.3,20.7,3,5,4.0,55.7,72.1,Low,52.0,high,low WFH,21-30
246,27,Other,Software Engineer,9.9,72.8,5.6,7.2,27.7,5,0,1.9,73.8,85.2,High,100.5,high,low WFH,21-30
247,55,Male,Business Analyst,7.7,51.0,8.1,7.0,10.2,4,0,3.0,46.9,41.4,Low,61.2,medium,low WFH,51-60
248,57,M,Data Analyst,5.9,64.2,99.3,6.0,15.1,8,1,4.3,19.0,61.1,High,79.3,medium,high WFH,51-60
249,59,Male,Business Analyst,2.4,46.6,78.4,8.8,13.9,9,5,4.3,81.0,73.0,Medium,60.5,high,high WFH,51-60
250,39,Male,Team Lead,3.9,39.2,92.2,4.4,4.7,3,1,4.2,71.6,64.1,Medium,43.900000000000006,medium,high WFH,31-40
251,54,Male,Software Engineer,9.1,44.1,19.5,7.7,17.7,4,1,4.3,95.5,41.9,Low,61.8,medium,low WFH,51-60
252,44,Male,QA Tester,6.5,68.7,96.1,8.6,22.3,3,3,1.8,48.6,83.7,Medium,91.0,high,high WFH,41-50
253,54,F,Team Lead,11.6,59.4,14.3,5.8,27.5,7,4,2.9,17.0,33.9,Medium,86.9,low,low WFH,51-60
254,44,Other,Product Manager,12.8,76.6,50.9,8.6,25.5,7,2,2.9,20.9,92.4,Low,102.1,high,medium WFH,41-50
255,48,M,Product Manager,8.1,62.4,83.0,10.1,15.3,2,3,4.6,79.6,96.2,Low,77.7,high,high WFH,41-50
256,37,Male,HR Manager,11.4,56.4,52.5,6.8,21.6,0,4,2.2,16.1,49.2,Low,78.0,medium,medium WFH,31-40
257,37,M,Support Engineer,4.6,58.6,52.5,6.1,24.0,5,2,4.7,91.7,50.1,Medium,82.6,medium,medium WFH,31-40
258,21,Male,Team Lead,6.2,76.8,12.8,5.0,15.1,1,1,2.8,35.3,79.5,Low,91.89999999999999,high,low WFH,21-30
259,54,Female,Support Engineer,10.7,68.4,52.5,7.8,3.5,1,2,3.7,90.9,56.5,Medium,71.9,medium,medium WFH,51-60
260,35,Male,Business Analyst,7.7,26.3,62.0,10.0,13.1,2,0,2.1,79.6,22.3,Medium,39.4,low,high WFH,31-40
261,55,F,Team Lead,8.8,54.4,67.6,7.0,15.1,7,0,2.6,88.4,93.6,Low,69.5,high,high WFH,51-60
262,52,Male,Business Analyst,2.8,62.9,77.7,6.2,15.1,2,5,3.8,29.3,54.5,Medium,78.0,medium,high WFH,51-60
263,23,Female,HR Manager,9.0,66.2,55.7,6.3,21.7,6,4,3.1,63.6,36.3,Low,87.9,low,medium WFH,21-30
264,52,Male,Software Engineer,12.9,36.7,64.6,7.5,5.6,9,3,4.7,18.4,64.5,Medium,42.300000000000004,medium,high WFH,51-60
265,33,M,Product Manager,7.7,51.2,1.4,4.8,28.9,9,1,3.9,28.2,37.5,Low,80.1,low,low WFH,31-40
266,40,Female,HR Manager,10.9,77.6,16.2,9.6,12.1,8,4,3.3,37.9,36.5,Low,89.69999999999999,low,low WFH,31-40
267,39,Female,Product Manager,11.2,38.0,98.5,5.4,19.6,7,1,3.0,76.7,63.7,Low,57.6,medium,high WFH,31-40
268,27,Male,Software Engineer,8.4,73.5,7.6,8.6,0.6,0,0,3.7,12.2,51.3,Medium,74.1,medium,low WFH,21-30
269,26,Female,Business Analyst,8.8,30.3,67.9,7.1,3.8,6,3,3.6,91.3,65.8,Low,34.1,medium,high WFH,21-30
270,22,M,Software Engineer,7.7,28.1,17.6,7.7,23.5,6,3,2.0,16.4,99.7,Low,51.6,high,low WFH,21-30
271,36,Female,Product Manager,6.7,32.1,71.7,4.4,29.0,7,0,2.6,43.9,88.7,Low,61.1,high,high WFH,31-40
272,52,M,Product Manager,7.7,28.2,70.6,8.9,9.6,9,2,3.7,17.3,20.6,Low,37.8,low,high WFH,51-60
273,31,Male,Support Engineer,14.4,71.5,23.4,4.5,1.1,4,3,3.0,79.2,24.0,Medium,72.6,low,medium WFH,31-40
274,41,Other,QA Tester,6.5,28.2,27.0,3.9,10.8,9,2,3.0,22.7,68.8,Medium,39.0,medium,medium WFH,41-50
275,41,Male,HR Manager,8.2,39.9,65.5,7.0,0.5,8,1,1.9,89.6,70.1,High,40.4,high,high WFH,41-50
276,49,Other,Team Lead,8.0,30.7,52.5,8.7,5.8,8,3,3.4,57.7,90.3,Low,36.5,high,medium WFH,41-50
277,57,M,Product Manager,9.6,41.2,19.5,3.4,15.1,7,5,1.3,95.4,70.3,Low,56.300000000000004,high,low WFH,51-60
278,57,Female,HR Manager,11.2,30.0,73.2,3.6,28.1,5,0,3.9,36.1,38.2,Medium,58.1,low,high WFH,51-60
279,27,F,Support Engineer,3.4,61.7,15.4,9.4,2.6,5,2,3.8,50.9,57.5,Medium,64.3,medium,low WFH,21-30
280,46,Other,Software Engineer,7.9,32.3,85.6,9.5,16.7,0,5,2.4,72.5,84.7,Low,49.0,high,high WFH,41-50
281,46,Female,Support Engineer,7.7,71.9,51.5,5.0,7.6,5,1,4.6,84.9,93.8,Medium,79.5,high,medium WFH,41-50
282,53,Other,Data Analyst,6.9,51.2,10.6,7.9,4.2,3,1,3.0,47.9,39.0,Medium,55.400000000000006,low,low WFH,51-60
283,40,Female,Data Analyst,4.2,25.8,52.5,6.5,6.6,3,3,3.6,90.3,63.2,Low,32.4,medium,medium WFH,31-40
284,49,Male,Team Lead,9.8,74.3,51.9,8.1,17.3,1,3,1.8,20.6,32.7,Medium,91.6,low,medium WFH,41-50
285,52,Other,Support Engineer,12.4,26.6,29.8,9.9,2.0,3,5,2.7,73.8,59.8,Low,28.6,medium,medium WFH,51-60
286,47,F,Business Analyst,0.9,38.2,42.3,3.6,13.0,4,4,4.4,41.3,27.2,High,51.2,low,medium WFH,41-50
287,52,F,Team Lead,11.7,26.8,29.8,9.2,4.1,4,4,1.9,19.1,95.3,Medium,30.9,high,medium WFH,51-60
288,24,M,Business Analyst,12.3,43.5,26.3,6.9,8.2,4,3,2.6,44.8,71.0,Low,51.7,high,medium WFH,21-30
289,38,Female,Team Lead,6.9,53.3,16.4,7.5,5.7,3,4,2.3,89.2,88.3,Low,59.0,high,low WFH,31-40
290,23,Other,Data Analyst,14.7,68.8,36.3,7.0,26.5,0,0,1.6,98.2,99.9,High,95.3,high,medium WFH,21-30
291,54,M,Team Lead,11.8,43.6,25.1,10.4,21.2,9,5,2.2,45.4,34.6,Medium,64.8,low,medium WFH,51-60
292,36,Other,Data Analyst,11.6,51.2,68.3,3.5,26.1,7,0,1.9,89.8,75.5,Low,77.30000000000001,high,high WFH,31-40
293,47,Female,Product Manager,7.7,35.3,68.4,7.0,15.1,2,4,4.7,55.9,91.0,Medium,50.4,high,high WFH,41-50
294,49,F,Software Engineer,7.7,66.3,50.2,4.4,9.4,1,3,4.0,74.5,66.1,Medium,75.7,medium,medium WFH,41-50
295,48,Male,Business Analyst,3.3,38.0,77.8,10.9,11.4,8,0,3.0,14.1,71.2,Low,49.4,high,high WFH,41-50
296,25,F,Support Engineer,7.0,32.9,52.5,8.7,0.6,6,1,3.0,60.2,52.6,Low,33.5,medium,medium WFH,21-30
297,54,M,Product Manager,4.0,35.2,58.0,7.9,21.7,8,3,1.1,16.3,74.0,Medium,56.900000000000006,high,medium WFH,51-60
298,56,Male,Product Manager,6.2,35.0,61.9,7.0,10.5,1,5,3.1,34.2,51.6,Low,45.5,medium,high WFH,51-60
299,43,M,Team Lead,13.3,53.2,28.3,10.0,15.1,8,2,2.0,61.0,58.1,Low,68.3,medium,medium WFH,41-50
300,48,Female,Data Analyst,12.4,71.5,89.5,9.5,17.9,9,2,1.5,82.6,28.2,Medium,89.4,low,high WFH,41-50
301,50,Male,HR Manager,9.5,29.4,2.4,8.3,13.1,8,3,4.5,60.5,20.6,Medium,42.5,low,low WFH,41-50
302,54,M,Business Analyst,12.9,63.9,34.9,5.7,29.4,8,4,1.8,94.3,24.4,Low,93.3,low,medium WFH,51-60
303,52,Female,Product Manager,11.8,61.0,72.2,3.6,10.7,9,0,4.3,82.9,35.4,Low,71.7,low,high WFH,51-60
304,40,F,Team Lead,6.4,73.0,8.0,7.6,18.4,9,0,2.7,24.1,56.5,Medium,91.4,medium,low WFH,31-40
305,51,Female,QA Tester,3.0,38.4,18.3,8.8,9.3,3,3,1.1,45.0,21.7,Medium,47.7,low,low WFH,51-60
306,42,Other,Software Engineer,7.7,49.8,58.9,3.8,29.7,9,1,3.9,70.2,32.5,Medium,79.5,low,medium WFH,41-50
307,52,Female,Software Engineer,11.0,75.9,56.0,8.1,13.4,2,5,3.4,94.5,82.5,Low,89.30000000000001,high,medium WFH,51-60
308,22,Female,HR Manager,6.5,61.3,52.5,5.3,19.0,5,4,2.4,98.9,81.0,Medium,80.3,high,medium WFH,21-30
309,37,Other,Data Analyst,10.0,46.4,81.3,9.1,3.8,2,1,2.1,78.7,83.2,High,50.199999999999996,high,high WFH,31-40
310,44,M,Team Lead,1.4,32.2,12.9,7.3,22.0,8,3,1.3,61.6,93.7,Low,54.2,high,low WFH,41-50
311,50,M,Business Analyst,11.2,39.4,1.8,4.0,15.1,2,3,4.8,78.1,29.5,Low,54.5,low,low WFH,41-50
312,22,Female,Data Analyst,12.2,57.0,69.0,7.2,13.5,1,1,3.0,34.6,33.1,Medium,70.5,low,high WFH,21-30
313,59,Other,Software Engineer,10.6,64.5,30.1,6.2,26.5,7,2,1.3,35.5,46.7,Low,91.0,medium,medium WFH,51-60
314,43,Other,Data Analyst,14.5,31.8,62.6,4.4,29.1,5,3,4.5,68.9,93.2,Low,60.900000000000006,high,high WFH,41-50
315,51,F,Software Engineer,12.4,58.0,15.1,9.7,12.7,7,5,2.1,88.5,82.0,Low,70.7,high,low WFH,51-60
316,41,M,Data Analyst,13.5,55.3,46.9,3.1,25.0,6,4,1.8,97.3,45.9,Low,80.3,medium,medium WFH,41-50
317,42,Male,HR Manager,7.7,53.3,50.4,5.5,1.6,2,1,2.1,40.7,27.0,Low,54.9,low,medium WFH,41-50
318,21,Male,Support Engineer,12.0,63.0,58.5,3.1,25.4,7,2,3.3,81.7,69.3,Low,88.4,medium,medium WFH,21-30
319,46,M,HR Manager,10.1,71.1,51.3,3.8,18.9,9,1,1.3,86.6,40.5,High,90.0,medium,medium WFH,41-50
320,21,F,HR Manager,7.7,51.2,49.6,5.4,14.7,0,2,2.9,66.1,62.5,Medium,65.9,medium,medium WFH,21-30
321,45,Male,Support Engineer,7.0,73.9,52.5,7.0,26.7,0,2,4.6,41.3,95.3,Medium,100.60000000000001,high,medium WFH,41-50
322,36,F,Support Engineer,8.6,33.8,52.5,7.8,25.4,9,5,1.8,65.7,65.8,Low,59.199999999999996,medium,medium WFH,31-40
323,59,Male,Product Manager,4.6,34.5,9.0,3.7,8.9,7,4,2.3,62.6,93.9,Medium,43.4,high,low WFH,51-60
324,52,Female,Product Manager,4.8,39.7,43.4,8.6,23.7,8,3,2.6,64.6,51.4,Low,63.400000000000006,medium,medium WFH,51-60
325,28,Male,Team Lead,14.4,31.6,35.6,3.4,3.0,9,2,3.3,65.7,70.7,Medium,34.6,high,medium WFH,21-30
326,58,F,Business Analyst,7.7,37.7,51.6,7.0,24.7,5,3,4.7,86.2,91.5,High,62.400000000000006,high,medium WFH,51-60
327,48,M,Business Analyst,12.7,30.9,30.5,5.4,20.3,4,4,2.6,25.3,67.0,Medium,51.2,medium,medium WFH,41-50
328,45,Male,Team Lead,6.1,70.2,68.8,10.2,2.6,1,3,1.3,43.1,69.2,Medium,72.8,medium,high WFH,41-50
329,54,Male,HR Manager,0.2,32.6,86.4,8.1,15.1,8,5,2.4,62.7,77.3,Medium,47.7,high,high WFH,51-60
330,44,Other,HR Manager,1.2,66.1,29.9,9.2,17.4,5,5,1.8,35.5,90.6,Medium,83.5,high,medium WFH,41-50
331,43,M,Software Engineer,4.7,27.6,19.3,4.1,17.8,7,0,3.6,98.0,27.1,Low,45.400000000000006,low,low WFH,41-50
332,32,Female,Software Engineer,7.7,77.2,11.6,9.7,8.7,8,5,1.1,33.7,46.9,Low,85.9,medium,low WFH,31-40
333,26,Male,Business Analyst,0.3,64.1,61.6,3.1,8.0,8,2,3.0,52.3,51.8,High,72.1,medium,high WFH,21-30
334,55,Female,Team Lead,7.7,25.4,44.4,4.7,22.9,7,4,3.2,89.0,92.8,Low,48.3,high,medium WFH,51-60
335,39,Male,QA Tester,10.6,67.0,18.8,7.9,7.7,9,5,2.1,17.2,96.5,High,74.7,high,low WFH,31-40
336,20,Male,Product Manager,4.6,53.3,65.3,6.0,13.4,7,1,3.2,83.9,29.6,Low,66.7,low,high WFH,
337,27,Male,QA Tester,2.0,67.9,14.8,10.9,20.8,2,4,1.5,61.4,29.5,Low,88.7,low,low WFH,21-30
338,35,M,Team Lead,7.7,53.7,55.4,3.2,2.4,2,2,4.8,12.9,94.8,Medium,56.1,high,medium WFH,31-40
339,33,Male,Software Engineer,0.1,60.3,52.7,11.0,17.8,1,4,3.0,91.3,43.7,Low,78.1,medium,medium WFH,31-40
340,31,Male,Business Analyst,14.1,68.2,73.4,8.0,17.7,0,5,4.7,13.5,39.3,Medium,85.9,low,high WFH,31-40
341,42,Male,Business Analyst,7.7,47.3,52.5,7.5,20.5,3,1,2.3,56.4,22.8,Medium,67.8,low,medium WFH,41-50
342,34,F,Software Engineer,6.0,25.1,88.8,3.5,11.1,1,0,4.1,14.4,42.0,Medium,36.2,medium,high WFH,31-40
343,47,F,QA Tester,5.9,71.7,52.5,5.2,13.5,1,2,3.0,16.4,75.5,Medium,85.2,high,medium WFH,41-50
344,53,Other,Data Analyst,1.0,45.9,21.6,10.4,9.9,4,2,3.7,89.8,54.1,Low,55.8,medium,medium WFH,51-60
345,21,Female,Data Analyst,9.6,52.3,52.5,5.8,15.1,3,4,2.3,78.9,61.3,Low,67.39999999999999,medium,medium WFH,21-30
346,51,Male,Software Engineer,11.0,25.4,43.2,8.3,3.9,0,3,3.0,27.7,93.4,Low,29.299999999999997,high,medium WFH,51-60
347,42,M,Data Analyst,10.1,51.2,81.8,11.0,15.1,8,3,3.7,65.8,29.2,Low,66.3,low,high WFH,41-50
348,41,M,Support Engineer,2.1,79.3,84.3,5.1,19.0,3,1,3.0,81.5,25.7,High,98.3,low,high WFH,41-50
349,44,Other,Team Lead,8.7,40.3,52.0,7.6,26.6,4,0,3.3,90.1,88.2,Medium,66.9,high,medium WFH,41-50
350,41,Male,Team Lead,8.5,46.7,86.1,8.6,12.8,6,0,1.3,52.1,82.0,Medium,59.5,high,high WFH,41-50
351,41,Other,Software Engineer,13.0,62.8,0.5,4.3,10.0,1,4,2.0,90.8,41.1,Medium,72.8,medium,low WFH,41-50
352,25,M,HR Manager,5.7,69.8,3.5,4.2,27.0,7,4,3.3,55.7,45.9,Low,96.8,medium,low WFH,21-30
353,34,Female,Product Manager,5.6,48.0,52.5,6.7,3.0,1,3,1.1,71.9,44.8,Medium,51.0,medium,medium WFH,31-40
354,56,Male,QA Tester,9.3,42.0,77.5,6.1,3.5,9,5,2.0,98.1,71.8,Medium,45.5,high,high WFH,51-60
355,52,F,Software Engineer,9.5,76.6,52.5,8.7,9.0,4,0,3.0,31.2,24.9,Low,85.6,low,medium WFH,51-60
356,27,F,Data Analyst,7.0,62.2,75.4,3.6,28.8,1,5,2.0,25.2,59.2,High,91.0,medium,high WFH,21-30
357,24,Other,QA Tester,6.6,31.5,95.6,10.8,19.0,1,0,3.0,40.8,30.7,Medium,50.5,low,high WFH,21-30
358,58,F,HR Manager,7.4,28.8,77.2,3.1,16.6,3,5,3.3,24.8,85.6,Low,45.400000000000006,high,high WFH,51-60
359,23,M,Data Analyst,12.9,51.6,84.2,7.8,21.2,3,5,4.6,35.6,50.5,Medium,72.8,medium,high WFH,21-30
360,25,M,Business Analyst,7.7,37.1,76.1,7.5,12.5,7,0,2.5,76.9,62.2,Low,49.6,medium,high WFH,21-30
361,51,Other,Product Manager,14.1,39.0,16.8,4.1,15.1,5,1,4.7,53.0,22.3,Low,54.1,low,low WFH,51-60
362,49,M,Support Engineer,7.6,73.3,83.4,7.0,11.8,9,1,3.6,43.8,24.7,Medium,85.1,low,high WFH,41-50
363,54,Female,Data Analyst,14.2,29.9,19.5,7.0,24.8,7,4,4.7,43.2,74.0,High,54.7,high,low WFH,51-60
364,59,Other,Support Engineer,12.5,51.2,89.3,10.1,8.0,6,5,4.3,27.5,81.3,Medium,59.2,high,high WFH,51-60
365,35,Male,QA Tester,5.4,39.9,45.9,5.3,8.3,9,5,3.8,50.3,76.8,High,48.2,high,medium WFH,31-40
366,32,Male,Support Engineer,13.0,51.2,67.7,6.5,15.7,3,5,2.4,66.2,79.0,High,66.9,high,high WFH,31-40
367,49,Female,QA Tester,7.7,64.7,49.7,5.8,12.9,1,5,2.0,22.5,28.4,High,77.60000000000001,low,medium WFH,41-50
368,38,Male,QA Tester,13.9,25.4,9.4,3.6,19.4,8,5,1.9,97.6,75.5,Low,44.8,high,low WFH,31-40
369,36,Male,QA Tester,9.5,51.2,29.1,8.4,10.9,1,3,4.8,49.9,34.5,Medium,62.1,low,medium WFH,31-40
370,38,Female,QA Tester,0.8,32.7,98.4,9.6,6.9,0,2,4.8,95.3,27.8,Low,39.6,low,high WFH,31-40
371,47,Other,QA Tester,9.7,72.6,96.1,5.4,14.1,7,5,3.9,22.1,80.6,Medium,86.69999999999999,high,high WFH,41-50
372,45,M,Data Analyst,14.6,72.9,32.0,10.9,16.8,9,3,4.5,79.0,91.2,High,89.7,high,medium WFH,41-50
373,56,M,QA Tester,1.0,48.0,99.6,3.6,4.3,8,1,4.7,65.6,77.3,Low,52.3,high,high WFH,51-60
374,45,Male,Data Analyst,8.3,49.4,84.6,8.3,16.7,0,5,3.0,83.8,84.4,Medium,66.1,high,high WFH,41-50
375,42,Male,QA Tester,11.2,41.7,61.1,7.0,9.6,6,1,3.5,64.1,99.3,Medium,51.300000000000004,high,high WFH,41-50
376,28,Other,Support Engineer,7.7,64.4,4.0,7.0,11.8,1,4,2.7,96.7,30.8,Low,76.2,low,low WFH,21-30
377,31,F,Business Analyst,6.2,44.7,90.1,6.7,8.4,5,2,3.0,66.4,97.2,Low,53.1,high,high WFH,31-40
378,20,Female,QA Tester,3.1,39.7,55.7,5.1,27.9,4,0,1.2,80.6,68.1,Medium,67.6,medium,medium WFH,
379,20,Male,HR Manager,0.6,48.8,86.8,8.7,20.5,0,2,2.7,89.0,85.1,Low,69.3,high,high WFH,
380,53,M,QA Tester,7.7,30.0,83.4,8.8,7.9,1,5,3.7,74.3,72.0,Medium,37.9,high,high WFH,51-60
381,51,Other,QA Tester,6.8,66.1,83.3,5.3,19.4,1,5,2.7,57.2,65.6,Medium,85.5,medium,high WFH,51-60
382,44,Female,Support Engineer,14.2,25.7,69.8,7.0,25.5,9,2,4.5,34.6,76.3,Medium,51.2,high,high WFH,41-50
383,59,Other,Product Manager,0.9,60.4,29.1,5.5,12.0,9,2,2.3,86.9,45.6,Low,72.4,medium,medium WFH,51-60
384,20,Female,Team Lead,10.3,35.1,52.5,8.8,24.9,5,4,1.5,53.3,93.9,Medium,60.0,high,medium WFH,
385,35,Female,Support Engineer,0.4,37.8,52.5,4.0,4.6,0,1,4.2,65.9,29.2,Low,42.4,low,medium WFH,31-40
386,58,Male,HR Manager,2.6,60.0,52.5,4.3,24.7,3,0,3.7,17.1,45.4,High,84.7,medium,medium WFH,51-60
387,24,Other,Team Lead,6.8,79.6,58.3,5.5,16.2,9,2,2.0,54.8,22.5,Low,95.8,low,medium WFH,21-30
388,41,Other,Software Engineer,6.8,67.8,69.9,7.8,6.7,4,0,3.1,72.8,41.7,High,74.5,medium,high WFH,41-50
389,48,Male,Software Engineer,10.3,37.4,85.4,8.2,12.2,1,2,2.6,62.6,37.5,Medium,49.599999999999994,low,high WFH,41-50
390,22,M,Product Manager,13.7,34.7,14.0,6.2,29.6,1,1,4.8,50.4,24.0,Medium,64.30000000000001,low,low WFH,21-30
391,31,Male,HR Manager,9.6,72.6,54.4,3.6,15.1,6,0,3.4,30.1,59.3,Low,87.69999999999999,medium,medium WFH,31-40
392,45,Male,Support Engineer,14.3,49.4,0.8,6.0,17.3,6,3,1.6,37.9,57.5,Low,66.7,medium,low WFH,41-50
393,35,F,Data Analyst,13.2,32.5,9.5,8.5,3.5,5,1,3.0,73.1,26.2,Low,36.0,low,low WFH,31-40
394,56,M,HR Manager,8.8,72.4,5.4,8.4,12.5,0,0,4.5,30.2,40.9,Low,84.9,medium,low WFH,51-60
395,41,Female,Business Analyst,12.5,69.9,72.5,4.3,7.9,2,2,3.7,66.0,96.3,High,77.80000000000001,high,high WFH,41-50
396,48,Other,Team Lead,9.6,79.1,8.1,3.1,15.1,8,2,4.4,63.1,28.9,Low,94.19999999999999,low,low WFH,41-50
397,33,Male,Team Lead,1.2,75.0,71.6,9.0,16.3,9,1,2.0,97.3,44.4,High,91.3,medium,high WFH,31-40
398,47,Other,QA Tester,7.7,71.8,52.5,3.9,15.1,0,1,4.6,15.5,22.9,Medium,86.89999999999999,low,medium WFH,41-50
399,24,Male,Software Engineer,1.4,27.9,87.8,3.7,20.3,1,2,4.0,19.7,31.9,Low,48.2,low,high WFH,21-30
